animal_id,animal_no,scientific_name,common_name_it,common_name_en,iucn_lookup_status,iucn_assessment_id,iucn_red_list_category,iucn_red_list_category_name,iucn_year_published,iucn_assessment_url,elevation_lower_m,elevation_upper_m,depth_upper_m,depth_lower_m
1,001,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,ok,72311295,LC,Least Concern,2016,https://www.iucnredlist.org/species/59812/72311295,,,,
2,002,Passer Domesticus,Passero Comune,House Sparrow,ok,155522130,LC,Least Concern,2019,https://www.iucnredlist.org/species/103818789/155522130,,4500.0,,
3,003,Podarcis Muralis,Lucertola Muraiola,Common Wall Lizard,ok,12514105,LC,Least Concern,2009,https://www.iucnredlist.org/species/61550/12514105,0.0,2500.0,,
4,004,Vulpes Zerda,Fennec,Fennec Fox,ok,46173447,LC,Least Concern,2015,https://www.iucnredlist.org/species/41588/46173447,0.0,,,
5,005,Archilochus Colubris,Colibrì Golarubina,Ruby-Throated Hummingbird,ok,186910664,LC,Least Concern,2021,https://www.iucnredlist.org/species/22688193/186910664,,1900.0,,
6,006,Uromastyx Acanthinura,Uromastice Del Nord Africa,North African Spiny-Tailed Lizard,ok,2531202,NT,Near Threatened,2021,https://www.iucnredlist.org/species/198535/2531202,,,,
7,007,Pandinus Imperator,Scorpione Imperatore,Emperor Scorpion,assessment_not_found,,,,,,,,,
8,008,Canis Lupus,Lupo Grigio,Grey Wolf,ok,247624660,LC,Least Concern,2023,https://www.iucnredlist.org/species/3746/247624660,0.0,3000.0,,
9,009,Pyrrhocoris Apterus,Cavaliere Rosso,Firebug,assessment_not_found,,,,,,,,,
10,010,Gerbillus Gerbillus,Gerbillo Del Deserto,Lesser Egyptian Gerbil,ok,115090506,LC,Least Concern,2016,https://www.iucnredlist.org/species/9123/115090506,,,,
11,011,Brachypelma Hamorii,Tarantola Messicana Dalle Ginocchia Arancioni,Mexican Red-Knee Tarantula,ok,148726332,VU,Vulnerable,2019,https://www.iucnredlist.org/species/66081800/148726332,0.0,2110.0,,
12,012,Phycodurus Eques,Drago Foglia Fogliato,Leafy Seadragon,ok,67622420,LC,Least Concern,2017,https://www.iucnredlist.org/species/17096/67622420,,,0.0,30.0
13,013,Pica Pica,Gazza Comune,Eurasian Magpie,ok,264575751,LC,Least Concern,2024,https://www.iucnredlist.org/species/103727048/264575751,0.0,3200.0,,
14,014,Bubo Ascalaphus,Gufo Del Deserto,Desert Eagle-Owl,ok,263650483,LC,Least Concern,2024,https://www.iucnredlist.org/species/22688938/263650483,0.0,2800.0,,
15,015,Dermochelys Coriacea,Liuto,Leatherback Sea Turtle,ok,43526147,VU,Vulnerable,2013,https://www.iucnredlist.org/species/6494/43526147,,,0.0,1300.0
16,016,Ptilocercus Lowii,Toporagno Arboricolo Dalla Coda Piumata,Pen-Tailed Treeshrew,ok,229799507,LC,Least Concern,2023,https://www.iucnredlist.org/species/41491/229799507,0.0,1200.0,,
17,017,Varanus Griseus,Varano Del Deserto,Desert Monitor,ok,3110663,LC,Least Concern,2021,https://www.iucnredlist.org/species/62252/3110663,0.0,1300.0,,
18,018,Heloderma Suspectum,Lucertola Di Gila,Gila Monster,ok,13022716,NT,Near Threatened,2007,https://www.iucnredlist.org/species/9865/13022716,,,,
19,019,Sula Sula,Sula Dalle Zampe Rosse,Red-Footed Booby,ok,168988714,LC,Least Concern,2021,https://www.iucnredlist.org/species/22696694/168988714,0.0,100.0,,
20,020,Apis Mellifera,Ape Mellifera,Western Honey Bee,ok,277757621,DD,Data Deficient,2025,https://www.iucnredlist.org/species/42463639/277757621,,,,
21,021,Cerastes Cerastes,Vipera Cornuta Del Sahara,Saharan Horned Viper,ok,2486896,LC,Least Concern,2021,https://www.iucnredlist.org/species/197465/2486896,0.0,1500.0,,
22,022,Phrynosoma Cornutum,Rospo Cornuto Del Texas,Texas Horned Lizard,ok,12741535,LC,Least Concern,2007,https://www.iucnredlist.org/species/64072/12741535,,,,
23,023,Lanius Meridionalis,Averla Meridionale,Iberian Grey Shrike,ok,118845180,VU,Vulnerable,2017,https://www.iucnredlist.org/species/22729533/118845180,,1200.0,,
24,024,Vulpes Vulpes,Volpe Rossa,Red Fox,ok,193903628,LC,Least Concern,2021,https://www.iucnredlist.org/species/23062/193903628,0.0,4500.0,,
25,025,Ranoidea Caerulea,Raganella Verde Australiana,Australian Green Tree Frog,assessment_not_found,,,,,,,,,
26,026,Oecophylla Smaragdina,Formica Tessitrice Smeraldina,Weaver Ant,assessment_not_found,,,,,,,,,
27,027,Hirundo Rustica,Rondine Comune,Barn Swallow,ok,137668645,LC,Least Concern,2019,https://www.iucnredlist.org/species/22712252/137668645,,3000.0,,
28,028,Gazella Dorcas,Gazzella Di Dorcas,Dorcas Gazelle,ok,50186334,VU,Vulnerable,2017,https://www.iucnredlist.org/species/8969/50186334,,,,
29,029,Phyllobates Terribilis,Rana Dorata Velenosa,Golden Poison Frog,ok,85887889,EN,Endangered,2017,https://www.iucnredlist.org/species/55264/85887889,50.0,400.0,,
30,030,Turdus Migratorius,Tordo Migratore Americano,American Robin,ok,139392811,LC,Least Concern,2021,https://www.iucnredlist.org/species/103889499/139392811,1200.0,3500.0,,
31,031,Columba Livia,Piccione Selvatico,Rock Dove,ok,281965783,LC,Least Concern,2025,https://www.iucnredlist.org/species/22690066/281965783,0.0,4500.0,,
32,032,Felis Silvestris,Gatto Selvatico Africano,African Wildcat,ok,224982454,LC,Least Concern,2023,https://www.iucnredlist.org/species/181049859/224982454,0.0,2250.0,,
33,033,Proteus Anguinus,Proteo,Olm,ok,227229041,VU,Vulnerable,2024,https://www.iucnredlist.org/species/18377/227229041,,,,
34,034,Sciurus Carolinensis,Scoiattolo Grigio Americano,Eastern Grey Squirrel,ok,276917738,LC,Least Concern,2018,https://www.iucnredlist.org/species/42462/276917738,,,,
35,035,Erinaceus Europaeus,Riccio Europeo,European Hedgehog,ok,213411773,NT,Near Threatened,2024,https://www.iucnredlist.org/species/29650/213411773,0.0,2000.0,,
36,036,Hyaena Hyaena,Iena Striata,Striped Hyena,ok,45195080,NT,Near Threatened,2015,https://www.iucnredlist.org/species/10274/45195080,0.0,3300.0,,
37,037,Ahaetulla Nasuta,Serpente A Frusta Verde,Green Vine Snake,ok,286750830,LC,Least Concern,2025,https://www.iucnredlist.org/species/172707/286750830,10.0,1300.0,,
38,038,Procyon Lotor,Procione,Raccoon,ok,45216638,LC,Least Concern,2016,https://www.iucnredlist.org/species/41686/45216638,,,,
39,039,Turdus Merula,Merlo Comune,Common Blackbird,ok,264548442,LC,Least Concern,2024,https://www.iucnredlist.org/species/103888106/264548442,,2300.0,,
40,040,Ammotragus Lervia,Ammotrage,Aoudad,ok,214430287,VU,Vulnerable,2022,https://www.iucnredlist.org/species/1151/214430287,200.0,4100.0,,
41,041,Bitis Gabonica,Vipera Del Gabon,Gaboon Viper,ok,13300904,VU,Vulnerable,2021,https://www.iucnredlist.org/species/13300893/13300904,0.0,2100.0,,
42,042,Cyanocitta Cristata,Ghiandaia Blu,Blue Jay,ok,137739324,LC,Least Concern,2025,https://www.iucnredlist.org/species/22705611/137739324,0.0,3450.0,,
43,043,Cicada Orni,Cicala Comune,Ash Cicada,assessment_not_found,,,,,,,,,
44,044,Paraechinus Aethiopicus,Riccio Del Deserto Arabico,Ethiopian Hedgehog,ok,22326233,LC,Least Concern,2016,https://www.iucnredlist.org/species/40606/22326233,,,,
45,045,Canis Latrans,Coyote,Coyote,ok,163508579,LC,Least Concern,2018,https://www.iucnredlist.org/species/3745/163508579,,,,
46,046,Sus Scrofa,Cinghiale,Wild Boar,ok,44141833,LC,Least Concern,2019,https://www.iucnredlist.org/species/41775/44141833,0.0,,,
47,047,Chamaeleo Africanus,Camaleonte Africano,African Chameleon,ok,747133,LC,Least Concern,2014,https://www.iucnredlist.org/species/157273/747133,,,,
48,048,Hystrix Cristata,Porcospino Crestato,Crested Porcupine,ok,22232484,LC,Least Concern,2016,https://www.iucnredlist.org/species/10746/22232484,0.0,2550.0,,
49,049,Cathartes Aura,Avvoltoio Dalla Testa Rossa,Turkey Vulture,ok,131941613,LC,Least Concern,2018,https://www.iucnredlist.org/species/22697627/131941613,,4300.0,,
50,050,Ardea Cinerea,Airone Cenerino,Grey Heron,ok,154525233,LC,Least Concern,2019,https://www.iucnredlist.org/species/22696993/154525233,,4000.0,,
51,051,Corvus Ruficollis,Corvo Dal Collo Rossiccio,Brown-Necked Raven,ok,263853665,LC,Least Concern,2024,https://www.iucnredlist.org/species/22706064/263853665,,3700.0,,
52,052,Numida Meleagris,Faraona Comune,Helmeted Guineafowl,ok,132052202,LC,Least Concern,2018,https://www.iucnredlist.org/species/22679555/132052202,,3000.0,,
53,053,Pieris Brassicae,Cavolaia Maggiore,Large White Butterfly,ok,211399745,LC,Least Concern,2025,https://www.iucnredlist.org/species/174251/211399745,0.0,900.0,,
54,054,Atelerix Algirus,Riccio Algerino,North African Hedgehog,ok,22324424,LC,Least Concern,2022,https://www.iucnredlist.org/species/27926/22324424,0.0,900.0,,
55,055,Polyplectron Bicalcaratum,Fagiano Dai Due Speroni,Grey Peacock-Pheasant,ok,263601893,LC,Least Concern,2024,https://www.iucnredlist.org/species/22736199/263601893,0.0,2000.0,,
56,056,Bufo Bufo,Rospo Comune,Common Toad,ok,78902726,LC,Least Concern,2023,https://www.iucnredlist.org/species/88316072/78902726,0.0,3000.0,,
57,057,Ctenodactylus Gundi,Gundi,Gundi,ok,22191625,LC,Least Concern,2022,https://www.iucnredlist.org/species/5792/22191625,230.0,2900.0,,
