animal_id,sci,com,com_en,cls,map_profile,assignment_status,assignment_confidence,bioregion_id,domain,continente,regione,ecoregione,score,role,overlap_count,overlap_iso2,basis
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_030,terrestrial,Eurasia,Eurasia Occidentale,Europa Temperata,0.7852,freshwater_proxy,24,AT;BA;BE;BY;CH;CZ;DE;DK;GB;HR;HU;IT;LT;LU;MD;NL;PL;RO;RS;RU;SE;SI;SK;UA,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_027,terrestrial,Eurasia,Eurasia Occidentale,Mediterraneo,0.7825,freshwater_proxy,23,BG;CY;DZ;EG;ES;GR;HR;IL;IQ;IT;JO;LB;LY;MA;MK;PS;PT;RS;RU;SA;SY;TN;TR,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_029,terrestrial,Eurasia,Eurasia Occidentale,Foreste montane europee,0.7798,freshwater_proxy,22,AL;AT;BA;BG;CH;CZ;DE;ES;GR;HR;HU;IT;ME;MK;PL;PT;RO;RS;SI;SK;TR;UA,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_028,terrestrial,Eurasia,Eurasia Centrale,Foreste e steppe del Mar Nero,0.7581,freshwater_proxy,14,AM;AZ;BG;GE;IL;IR;KZ;LB;MD;RO;RU;SY;TR;UA,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_044,terrestrial,Eurasia,Eurasia Centrale,Mar Caspio e deserti dell'Asia centrale,0.7499,freshwater_proxy,11,AF;AZ;IQ;IR;KG;KZ;PK;RU;TJ;TM;UZ,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_043,terrestrial,Eurasia,Eurasia Centrale,Steppe kazake e foreste emiboreali,0.7363,freshwater_proxy,6,BG;KZ;MD;RO;RU;UA,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_032,terrestrial,Eurasia,Eurasia Settentrionale,Tundra paleartica,0.7227,freshwater_proxy,1,RU,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_035,terrestrial,Eurasia,Eurasia Settentrionale,Mare di Okhotsk e tundra/taiga di Bering,0.7227,freshwater_proxy,1,RU,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_021,terrestrial,Africa,Africa Meridionale,Afrotropici subequatoriali,0.7039,freshwater_proxy,13,AO;BW;CD;KE;MW;MZ;NA;RW;TZ;UG;ZA;ZM;ZW,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_025,terrestrial,Eurasia,Eurasia Centrale,Grande penisola arabica,0.7039,freshwater_proxy,13,AE;EG;IL;IQ;IR;JO;OM;PS;SA;SD;SY;TR;YE,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_046,terrestrial,Eurasia,Eurasia Centrale,Deserti e foreste persiane,0.6835,freshwater_proxy,16,AE;AF;AM;AZ;EG;IL;IN;IQ;IR;JO;OM;PK;PS;SA;SY;TR,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_020,terrestrial,Africa,Africa Meridionale,Afrotropici meridionali,0.649,freshwater_proxy,7,AO;BW;MZ;NA;SZ;ZA;ZW,country_overlap;iucn_countries_present
1,Anax Imperator,Libellula Imperatore,Emperor Dragonfly,Insecta,freshwater_basin,freshwater_proxy_assigned,high,TER_SR_026,terrestrial,Africa,Africa Settentrionale,Nord Africa,0.6136,freshwater_proxy,9,DZ;EG;LY;MA;ML;MR;NE;SD;TN,country_overlap;iucn_countries_present
